n,null_pct,n_unique,dtype,unhashable,zero_pct,min,max,mean,std,degenerate,file,column
146329,0.0,2,int64,False,86.828,0.0,1.0,0.13172371847002304,0.33819015429555777,,meta_val.parquet,label
146329,0.0,119,int64,False,10.635,0.0,1152.0,157.00591817069753,231.1528804230109,,meta_val.parquet,n_pathogenic_in_gene
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,finngen_af_fin
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,finngen_af_nfsee
146329,0.0,1,float64,False,0.0,1.0,1.0,1.0,0.0,CONSTANT,meta_val.parquet,finngen_enrichment
146329,0.0,990,float64,False,2.316,0.0,1.0,0.4705902726048834,0.14009647320905794,,meta_val.parquet,sift_score
146329,0.0,927,float64,False,2.283,0.0,1.0,0.4950750295566839,0.15512798771077935,,meta_val.parquet,polyphen2_score
146329,0.0,1001,float64,False,0.003,0.0,1.0,0.47951150489650046,0.12677975571014335,,meta_val.parquet,revel_score
146329,0.0,4884,float64,False,0.0,0.001,64.0,16.588049580055905,6.84956677382157,,meta_val.parquet,cadd_phred
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,phylop_score
146329,0.0,2883,float64,False,79.597,-12.2,6.17,0.521807028340247,2.0461305376699017,,meta_val.parquet,gerp_score
146329,0.0,92,float32,False,90.553,0.0,1.0,0.03975541429488036,0.16491833641048506,,meta_val.parquet,splice_ai_score
146329,0.0,4959,float64,False,0.0,0.00860000029206276,1.0,0.4802536394159015,0.13473415041111117,,meta_val.parquet,alphamissense_score
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_max_tpm
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_n_tissues_expressed
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_tissue_specificity
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_is_eqtl
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_min_eqtl_pval
146329,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,gtex_max_abs_effect
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,codon_position
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,omim_n_diseases
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,omim_is_autosomal_dominant
146329,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_val.parquet,clingen_validity_score
